humanRL_gym_ple/dqn_ple.py:131: UserWarning: nn.init.xavier_uniform is now deprecated in favor of nn.init.xavier_uniform_.
  torch.nn.init.xavier_uniform(m.weight)
Collecting experience...
humanRL_gym_ple/dqn_ple.py:184: UserWarning: Creating a tensor from a list of numpy.ndarrays is extremely slow. Please consider converting the list to a single numpy.ndarray with numpy.array() before converting to a tensor. (Triggered internally at  ../torch/csrc/utils/tensor_new.cpp:201.)
  wrap_tensor = lambda x: torch.tensor([x])
Ep:  53 | Ep_r:  0.0 | Steps:  40 | Total Steps:  2079 | Ep_Loss: 6.4525
Ep:  54 | Ep_r:  0.0 | Steps:  5 | Total Steps:  2085 | Ep_Loss: 0.9284
Ep:  55 | Ep_r:  0.0 | Steps:  28 | Total Steps:  2114 | Ep_Loss: 3.7484
Ep:  56 | Ep_r:  0.0 | Steps:  33 | Total Steps:  2148 | Ep_Loss: 4.3505
Ep:  57 | Ep_r:  0.0 | Steps:  22 | Total Steps:  2171 | Ep_Loss: 2.7223
Ep:  58 | Ep_r:  0.0 | Steps:  25 | Total Steps:  2197 | Ep_Loss: 3.3086
Ep:  59 | Ep_r:  0.0 | Steps:  34 | Total Steps:  2232 | Ep_Loss: 3.5938
Ep:  60 | Ep_r:  0.0 | Steps:  5 | Total Steps:  2238 | Ep_Loss: 0.5101
Ep:  61 | Ep_r:  0.0 | Steps:  25 | Total Steps:  2264 | Ep_Loss: 2.4656
Ep:  62 | Ep_r:  0.0 | Steps:  29 | Total Steps:  2294 | Ep_Loss: 2.8606
Ep:  63 | Ep_r:  0.0 | Steps:  22 | Total Steps:  2317 | Ep_Loss: 2.2426
Ep:  64 | Ep_r:  0.0 | Steps:  5 | Total Steps:  2323 | Ep_Loss: 0.6307
Ep:  65 | Ep_r:  0.0 | Steps:  5 | Total Steps:  2329 | Ep_Loss: 0.4735
Ep:  66 | Ep_r:  0.0 | Steps:  29 | Total Steps:  2359 | Ep_Loss: 2.8582
Ep:  67 | Ep_r:  0.0 | Steps:  21 | Total Steps:  2381 | Ep_Loss: 1.9804
Ep:  68 | Ep_r:  0.0 | Steps:  57 | Total Steps:  2439 | Ep_Loss: 5.1233
Ep:  69 | Ep_r:  0.0 | Steps:  45 | Total Steps:  2485 | Ep_Loss: 3.4899
Ep:  70 | Ep_r:  0.0 | Steps:  46 | Total Steps:  2532 | Ep_Loss: 3.0541
Ep:  71 | Ep_r:  0.0 | Steps:  23 | Total Steps:  2556 | Ep_Loss: 1.2665
Ep:  72 | Ep_r:  0.0 | Steps:  5 | Total Steps:  2562 | Ep_Loss: 0.2778
Ep:  73 | Ep_r:  0.0 | Steps:  34 | Total Steps:  2597 | Ep_Loss: 1.5549
Ep:  74 | Ep_r:  0.0 | Steps:  39 | Total Steps:  2637 | Ep_Loss: 1.7641
Ep:  75 | Ep_r:  0.0 | Steps:  23 | Total Steps:  2661 | Ep_Loss: 0.9463
Ep:  76 | Ep_r:  0.0 | Steps:  26 | Total Steps:  2688 | Ep_Loss: 1.0404
Ep:  77 | Ep_r:  0.0 | Steps:  22 | Total Steps:  2711 | Ep_Loss: 0.8329
Ep:  78 | Ep_r:  0.0 | Steps:  58 | Total Steps:  2770 | Ep_Loss: 2.1675
Ep:  79 | Ep_r:  0.0 | Steps:  22 | Total Steps:  2793 | Ep_Loss: 0.9039
Ep:  80 | Ep_r:  0.0 | Steps:  59 | Total Steps:  2853 | Ep_Loss: 2.3262
Ep:  81 | Ep_r:  0.0 | Steps:  23 | Total Steps:  2877 | Ep_Loss: 0.8913
