humanRL_gym_ple/dqn_ple.py:131: UserWarning: nn.init.xavier_uniform is now deprecated in favor of nn.init.xavier_uniform_.
  torch.nn.init.xavier_uniform(m.weight)
Collecting experience...
humanRL_gym_ple/dqn_ple.py:159: UserWarning: Creating a tensor from a list of numpy.ndarrays is extremely slow. Please consider converting the list to a single numpy.ndarray with numpy.array() before converting to a tensor. (Triggered internally at  ../torch/csrc/utils/tensor_new.cpp:201.)
  wrap_tensor = lambda x: torch.tensor([x])
Ep:  55 | Ep_r:  0.0 | Steps:  5 | Total Steps:  2930 | Ep_Loss: 0.8132
Ep:  56 | Ep_r:  0.0 | Steps:  5 | Total Steps:  2936 | Ep_Loss: 0.8976
Ep:  57 | Ep_r:  0.0 | Steps:  5 | Total Steps:  2942 | Ep_Loss: 0.9953
Ep:  58 | Ep_r:  0.0 | Steps:  24 | Total Steps:  2967 | Ep_Loss: 3.9940
Ep:  59 | Ep_r:  0.0 | Steps:  45 | Total Steps:  3013 | Ep_Loss: 6.8843
Ep:  60 | Ep_r:  0.0 | Steps:  5 | Total Steps:  3019 | Ep_Loss: 0.8299
Ep:  61 | Ep_r:  1.0 | Steps:  22 | Total Steps:  3042 | Ep_Loss: 3.7011
Ep:  62 | Ep_r:  0.0 | Steps:  40 | Total Steps:  3083 | Ep_Loss: 6.1220
Ep:  63 | Ep_r:  1.0 | Steps:  59 | Total Steps:  3143 | Ep_Loss: 8.5358
Ep:  64 | Ep_r:  1.0 | Steps:  26 | Total Steps:  3170 | Ep_Loss: 3.6610
Ep:  65 | Ep_r:  0.0 | Steps:  24 | Total Steps:  3195 | Ep_Loss: 4.2005
Ep:  66 | Ep_r:  0.0 | Steps:  22 | Total Steps:  3218 | Ep_Loss: 3.3810
Ep:  67 | Ep_r:  0.0 | Steps:  40 | Total Steps:  3259 | Ep_Loss: 5.6423
Ep:  68 | Ep_r:  0.0 | Steps:  22 | Total Steps:  3282 | Ep_Loss: 3.3000
Ep:  69 | Ep_r:  0.0 | Steps:  5 | Total Steps:  3288 | Ep_Loss: 0.8396
Ep:  70 | Ep_r:  0.0 | Steps:  22 | Total Steps:  3311 | Ep_Loss: 3.3329
Ep:  71 | Ep_r:  0.0 | Steps:  22 | Total Steps:  3334 | Ep_Loss: 3.3355
Ep:  72 | Ep_r:  0.0 | Steps:  22 | Total Steps:  3357 | Ep_Loss: 3.3437
Ep:  73 | Ep_r:  1.0 | Steps:  41 | Total Steps:  3399 | Ep_Loss: 6.5504
Ep:  74 | Ep_r:  1.0 | Steps:  21 | Total Steps:  3421 | Ep_Loss: 3.4728
Ep:  75 | Ep_r:  0.0 | Steps:  27 | Total Steps:  3449 | Ep_Loss: 4.3020
Ep:  76 | Ep_r:  0.0 | Steps:  27 | Total Steps:  3477 | Ep_Loss: 4.4168
Ep:  77 | Ep_r:  0.0 | Steps:  60 | Total Steps:  3538 | Ep_Loss: 8.8963
Ep:  78 | Ep_r:  0.0 | Steps:  24 | Total Steps:  3563 | Ep_Loss: 3.6134
Ep:  79 | Ep_r:  0.0 | Steps:  5 | Total Steps:  3569 | Ep_Loss: 0.8965
Ep:  80 | Ep_r:  0.0 | Steps:  22 | Total Steps:  3592 | Ep_Loss: 3.2412
Ep:  81 | Ep_r:  0.0 | Steps:  39 | Total Steps:  3632 | Ep_Loss: 5.7382
Ep:  82 | Ep_r:  0.0 | Steps:  25 | Total Steps:  3658 | Ep_Loss: 3.7636
Ep:  83 | Ep_r:  0.0 | Steps:  22 | Total Steps:  3681 | Ep_Loss: 3.1756
Ep:  84 | Ep_r:  1.0 | Steps:  32 | Total Steps:  3714 | Ep_Loss: 4.8640
Ep:  85 | Ep_r:  0.0 | Steps:  39 | Total Steps:  3754 | Ep_Loss: 5.3745
Ep:  86 | Ep_r:  0.0 | Steps:  27 | Total Steps:  3782 | Ep_Loss: 3.9337
Ep:  87 | Ep_r:  0.0 | Steps:  5 | Total Steps:  3788 | Ep_Loss: 0.7656
Ep:  88 | Ep_r:  0.0 | Steps:  23 | Total Steps:  3812 | Ep_Loss: 3.2655
Ep:  89 | Ep_r:  0.0 | Steps:  5 | Total Steps:  3818 | Ep_Loss: 0.6403
Ep:  90 | Ep_r:  0.0 | Steps:  25 | Total Steps:  3844 | Ep_Loss: 3.3336
Ep:  91 | Ep_r:  0.0 | Steps:  5 | Total Steps:  3850 | Ep_Loss: 0.7437
Ep:  92 | Ep_r:  0.0 | Steps:  5 | Total Steps:  3856 | Ep_Loss: 0.7447
Ep:  93 | Ep_r:  0.0 | Steps:  39 | Total Steps:  3896 | Ep_Loss: 4.8415
Ep:  94 | Ep_r:  1.0 | Steps:  37 | Total Steps:  3934 | Ep_Loss: 4.7315
Ep:  95 | Ep_r:  0.0 | Steps:  24 | Total Steps:  3959 | Ep_Loss: 3.0751
Ep:  96 | Ep_r:  1.0 | Steps:  20 | Total Steps:  3980 | Ep_Loss: 2.3879
Ep:  97 | Ep_r:  1.0 | Steps:  54 | Total Steps:  4035 | Ep_Loss: 7.6252
Ep:  98 | Ep_r:  1.0 | Steps:  42 | Total Steps:  4078 | Ep_Loss: 5.1589
Ep:  99 | Ep_r:  0.0 | Steps:  45 | Total Steps:  4124 | Ep_Loss: 5.4705
Ep:  100 | Ep_r:  1.0 | Steps:  22 | Total Steps:  4147 | Ep_Loss: 2.8404
